"","strain","Sample_ID","Sample_Source","Data_Source","date","Location","Serotype","Sero_Geno","yale","caribbean","florida","cmplt_date","year","n_obs","n_obs_date"
"1","ON109597.1","ICIDR92","Medigeshi_2022","NCBI","2021-XX-XX","India","1","1_unassigned",0,0,0,0,"2021",36,3
"2","OK159945.1","RR031_126_SERa_31076_reads_nh","Bohl_2021","NCBI","2020-10-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"3","MZ291446.1","VI/Italy/2020","Barzon_2021","NCBI","2020-08-XX","Italy","1","1_I",0,0,0,0,"2020",1,1
"4","OL411495.1","109-0316_2020-07-13","Lay_2021","NCBI","2020-07-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"5","OL411497.1","109-0245_2020-03-04","Lay_2021","NCBI","2020-03-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"6","OK159960.1","109-0236_L001_56782_reads_nh","Bohl_2021","NCBI","2020-02-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"7","OK159961.1","109-0230_L001_56781_reads_nh","Bohl_2021","NCBI","2020-02-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"8","OK159968.1","RR031_110_SERa_31060_reads_nh","Bohl_2021","NCBI","2020-01-XX","Cambodia","1","1_I",0,0,0,0,"2020",30,29
"9","MN954554.1","19-5897-1","Munivenkatappa_2021","NCBI","2019-XX-XX","India","1","1_III_related",0,0,0,0,"2019",8,3
"10","MN954555.1","19-7168-2","Munivenkatappa_2021","NCBI","2019-XX-XX","India","1","1_III_related",0,0,0,0,"2019",8,3
"11","MW793710.1","YCH_D1_31_19consensus","Soe_2021","NCBI","2019-11-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"12","MW793692.1","YCH_D1_30_19consensus","Soe_2021","NCBI","2019-10-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"13","MW386862.1","YNBN01","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"14","MW386863.1","YNBN02","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"15","MW386864.1","YNBN03","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"16","MW386865.1","YNBN04","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"17","MW386866.1","YNDL01","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"18","MW386867.1","YNDL02","Li_2020","NCBI","2019-10-XX","China","1","1_I",0,0,0,0,"2019",210,38
"19","MW793691.1","YCH_D1_28_19consensus","Soe_2021","NCBI","2019-09-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"20","OK448162.1","10735","Liu_2021","NCBI","2019-09-XX","China","1","1_I",0,0,0,0,"2019",210,38
"21","OM033409.1","109-0129_L001","Chea_2022","NCBI","2019-09-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"22","MZ773407.1","AFI007","Cardona-Ospina_2021","NCBI","2019-09-XX","Colombia","1","1_V",0,0,0,0,"2019",2,2
"23","MW793686.1","YCH_D1_27_19consensus","Soe_2021","NCBI","2019-08-XX","Myanmar","1","1_I",0,0,0,0,"2019",26,22
"24","OL411498.1","109-0067_2019-08-13","Lay_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"25","OK159935.1","RR031_270_SERa_31139_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"26","OK159946.1","RR031_078_SERa_31028_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"27","OK159947.1","RR031_074_SERa_31024_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"28","OK159948.1","RR031_073_SERa_31023_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"29","OK159949.1","RR031_068_SERa_31018_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"30","OK159950.1","RR031_057_SERa_31008_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"31","OK159951.1","RR031_056_SERa_31007_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"32","OK159952.1","RR031_052_SERa_31003_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"33","OK159953.1","RR031_050_SERa_31001_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"34","OK159954.1","RR031_048_SERa_30999_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"35","OK159955.1","RR031_042_SERa_30993_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
"36","OK159962.1","RR031_267_SERa_31136_reads_nh","Bohl_2021","NCBI","2019-08-XX","Cambodia","1","1_I",0,0,0,0,"2019",104,92
