strain	Sample_ID	Sample_Source	Data_Source	date	Location	Serotype	Sero_Geno	yale	caribbean	florida	cmplt_date	year	n_obs	n_obs_date	n_obs_ds
KY415992.1	Homo sapiens/Haiti-0078/2014	White_2017	NCBI	2014-06-11	Haiti	2	2_III	0	1	0	1	2014	4	4	4
KX702403.1	Haiti-1/2016	Iovine_2016	NCBI	2016-02-05	Haiti	2	2_III	0	1	0	1	2016	1	1	1
KF704354.1	Cuba_A15_1981	Rodriguez-Roche_2014	NCBI	1981-XX-XX	Cuba	2	2_IV	0	1	0	0	1981	5	5	5
KF704355.1	Cuba_A132_1981	Rodriguez-Roche_2014	NCBI	1981-XX-XX	Cuba	2	2_IV	0	1	0	0	1981	5	5	5
KF704356.1	Cuba_A115_1981	Rodriguez-Roche_2014	NCBI	1981-XX-XX	Cuba	2	2_IV	0	1	0	0	1981	5	5	5
KF704357.1	Cuba_A169_1981	Rodriguez-Roche_2014	NCBI	1981-XX-XX	Cuba	2	2_IV	0	1	0	0	1981	5	5	5
KF704358.1	Cuba_A35_1981	Rodriguez-Roche_2014	NCBI	1981-XX-XX	Cuba	2	2_IV	0	1	0	0	1981	5	5	5
KF955359.1	DENV-2/PR/BID-V586/2006	Zody_2014	NCBI	2006-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	2006	25	25	25
KF955360.1	DENV-2/PR/BID-V590/2006	Zody_2014	NCBI	2006-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	2006	25	25	25
KF955363.1	DENV-2/PR/BID-V856/1986	Zody_2014	NCBI	1986-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1986	5	5	5
KF955364.1	DENV-2/PR/BID-V1037/2006	Zody_2014	NCBI	2006-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	2006	25	25	25
KF955371.1	DENV-2/PR/BID-V1366/1994	Zody_2014	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
KF955372.1	DENV-2/PR/BID-V1406/1997	Zody_2014	NCBI	1997-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1997	10	10	10
KF955373.1	DENV-2/PR/BID-V1408/1997	Zody_2014	NCBI	1997-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1997	10	10	10
EU920836.1	MAR-Jun-05	Dussart_2014	NCBI	2005-06-XX	Martinique	2	2_III	0	1	0	0	2005	5	5	5
EU920837.1	MAR-Aug-05	Dussart_2014	NCBI	2005-08-XX	Martinique	2	2_III	0	1	0	0	2005	5	5	5
EU920839.1	MAR-Sep-05	Dussart_2014	NCBI	2005-09-XX	Martinique	2	2_III	0	1	0	0	2005	5	5	5
EU920841.1	MAR-Oct-05	Dussart_2014	NCBI	2005-10-XX	Martinique	2	2_III	0	1	0	0	2005	5	5	5
EU920843.1	MAR-Nov-05	Dussart_2014	NCBI	2005-11-XX	Martinique	2	2_III	0	1	0	0	2005	5	5	5
EU920849.1	GUA-Sep-06	Dussart_2014	NCBI	2006-09-XX	Guadeloupe	2	2_III	0	1	0	0	2006	2	2	2
EU920850.1	GUA-Oct-06	Dussart_2014	NCBI	2006-10-XX	Guadeloupe	2	2_III	0	1	0	0	2006	2	2	2
JX966380.1	DENV2-PR159	Khoo_2013	NCBI	1969-XX-XX	Puerto-Rico	2	2_I	0	1	0	0	1969	2	2	2
GQ398269.1	DENV-2/PR/50DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III_related	0	1	0	0	1994	58	58	58
GQ398270.1	DENV-2/PR/2DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398271.1	DENV-2/PR/15DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398272.1	DENV-2/PR/49DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398273.1	DENV-2/PR/8DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398274.1	DENV-2/PR/23DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398275.1	DENV-2/PR/33DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398276.1	DENV-2/PR/26DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398277.1	DENV-2/PR/38DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398278.1	DENV-2/PR/40DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398279.1	DENV-2/PR/24DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398280.1	DENV-2/PR/39DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398281.1	DENV-2/PR/27DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398282.1	DENV-2/PR/35DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398283.1	DENV-2/PR/37DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398284.1	DENV-2/PR/36DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398285.1	DENV-2/PR/12DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398286.1	DENV-2/PR/42DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398287.1	DENV-2/PR/46DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398288.1	DENV-2/PR/10DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398289.1	DENV-2/PR/30DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398290.1	DENV-2/PR/31DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398291.1	DENV-2/PR/29DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398292.1	DENV-2/PR/6DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
GQ398293.1	DENV-2/PR/43DN/1994	Christenbury_2010	NCBI	1994-XX-XX	Puerto-Rico	2	2_III	0	1	0	0	1994	58	58	58
