"","c..d1.MZ619041.1....d1.MZ229304.1....d1.MZ229305.1....d1.MZ312926.1..."
"1","d1.MZ619041.1"
"2","d1.MZ229304.1"
"3","d1.MZ229305.1"
"4","d1.MZ312926.1"
"5","d1.MZ312924.1"
"6","d1.MZ312925.1"
"7","d1.MZ312922.1"
"8","d1.MZ312923.1"
"9","d1.MZ312927.1"
"10","d1.MZ312929.1"
"11","d1.OK159935.1"
"12","d1.MZ312928.1"
"13","d1.OK159937.1"
"14","d1.OK159936.1"
"15","d1.MZ312930.1"
"16","d1.OK159941.1"
"17","d1.OK159938.1"
"18","d1.OK159939.1"
"19","d1.OK159942.1"
"20","d1.OK159940.1"
"21","d1.OK159944.1"
"22","d1.OK159945.1"
"23","d1.OK159943.1"
"24","d1.OK159947.1"
"25","d1.OK159946.1"
"26","d1.OK159948.1"
"27","d1.OK159951.1"
"28","d1.OK159949.1"
"29","d1.OK159953.1"
"30","d1.OK159950.1"
"31","d1.OK159954.1"
"32","d1.OK159955.1"
"33","d1.OK159952.1"
"34","d1.OK159956.1"
"35","d1.OK159959.1"
"36","d1.OK159957.1"
"37","d1.OK159958.1"
"38","d1.OK159960.1"
"39","d1.OK159961.1"
"40","d1.OK159963.1"
"41","d1.OK159962.1"
"42","d1.OK159965.1"
"43","d1.OK159967.1"
"44","d1.OK159966.1"
"45","d1.OK159969.1"
"46","d1.OK159968.1"
"47","d1.OK159964.1"
"48","d1.OK159970.1"
"49","d1.OK159972.1"
"50","d1.OK159974.1"
"51","d1.OK159971.1"
"52","d1.OK159973.1"
"53","d1.OK159976.1"
"54","d1.OK159975.1"
"55","d1.MN428889.1"
"56","d1.MZ945530.1"
"57","d1.MZ773407.1"
"58","d1.LC646544.1"
"59","d1.MW315173.1"
"60","d1.MW315177.1"
"61","d1.MW315172.1"
"62","d1.MW315176.1"
"63","d1.MW315174.1"
"64","d1.MW315175.1"
"65","d1.MW315179.1"
"66","d1.MW315178.1"
"67","d1.MW315183.1"
"68","d1.MW315181.1"
"69","d1.MW315182.1"
"70","d1.MW315180.1"
"71","d1.MW315184.1"
"72","d1.MW315186.1"
"73","d1.MW315185.1"
"74","d1.MW315187.1"
"75","d1.MW315190.1"
"76","d1.MW315191.1"
"77","d1.MW315192.1"
"78","d1.MW315188.1"
"79","d1.MW315193.1"
"80","d1.MW315194.1"
"81","d1.MW315195.1"
"82","d1.MW265664.1"
"83","d1.MW265666.1"
"84","d1.MW265667.1"
"85","d1.MW265665.1"
"86","d1.MW265668.1"
"87","d1.MW265669.1"
"88","d1.MW265670.1"
"89","d1.MW315189.1"
"90","d1.MW265671.1"
"91","d1.MW265672.1"
"92","d1.MW265673.1"
